symbol_color
#49a4d8 
﻿organization,station,location,,,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
JMA,KAM,Kameyama,Kinki,Japan,34.8567,136.465,19310127,19660322,,,,tiff,http://www.susu.adep.or.jp
JMA,KYO,Kyoto,Kinki,Japan,35.0117,135.735,19160222,19941004,,,,tiff,http://www.susu.adep.or.jp
JMA,MAI,Maizuru,Kinki,Japan,35.4717,135.3867,19491225,19900923,,,,tiff,http://www.susu.adep.or.jp
JMA,MYD,Miyazu,Kinki,Japan,35.5333,135.2,19270307,19390607,,,,tiff,http://www.susu.adep.or.jp
JMA,OSA,Osaka,Kinki,Japan,34.6783,135.5217,19230901,19951230,,,,tiff,http://www.susu.adep.or.jp
JMA,OSA,Takayasuyama,Kinki,Japan,34.6783,135.5217,19680806,19951211,,,,tiff,http://www.susu.adep.or.jp
JMA,KOB,Kobe,Kinki,Japan,34.6883,135.18,19150105,19901011,,,,tiff,http://www.susu.adep.or.jp
JMA,TYK,Toyooka,Kinki,Japan,35.5333,134.825,19200117,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,SUM,Sumoto,Kinki,Japan,34.335,134.9083,19200409,19941004,,,,tiff,http://www.susu.adep.or.jp
JMA,HIM,Himeji,Kinki,Japan,34.8367,134.7017,19490319,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,NAR,Nara,Kinki,Japan,34.6833,135.8333,19180626,19941004,,,,tiff,http://www.susu.adep.or.jp
JMA,WKY,Wakayama,Kinki,Japan,34.2267,135.1667,19400710,19931012,,,,tiff,http://www.susu.adep.or.jp
JMA,SHJ,Shionomisaki,Kinki,Japan,33.4483,135.7633,19140526,19900923,,,,tiff,http://www.susu.adep.or.jp
JMA,TOT,Tottori,Chugoku,Japan,35.5117,134.1783,19440710,19941229,,,,tiff,http://www.susu.adep.or.jp
JMA,YON,Yonago,Chugoku,Japan,35.4333,133.3433,19410305,19911028,,,,tiff,http://www.susu.adep.or.jp
JMA,SAA,Sakai,Chugoku,Japan,35.55,133.2333,19430304,19431018,,,,tiff,http://www.susu.adep.or.jp
JMA,MTS,Matsue,Chugoku,Japan,35.455,133.0717,19410204,19920128,,,,tiff,http://www.susu.adep.or.jp
JMA,HMD,Hamada,Chugoku,Japan,34.8933,132.0733,19110615,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,SAI,Saigo,Chugoku,Japan,36.2018,133.3363,19410201,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,HIR,Hiroshima,Chugoku,Japan,34.3633,132.4367,19060121,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,SHN,Shimonoseki,Chugoku,Japan,33.9533,130.9417,19220426,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,TAD,Tadotsu,Shikoku,Japan,34.2833,133.7667,18930202,19431231,,,,tiff,http://www.susu.adep.or.jp
JMA,KOC,Kochi,Shikoku,Japan,33.5533,133.5367,19270115,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,MRT,Murotomisaki,Shikoku,Japan,33.2483,134.1783,19310127,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,,Sukumo,Shikoku,Japan,,,19520304,19590718,,,,tiff,http://www.susu.adep.or.jp
JMA,SHM,Shimizu Ashiz,Shikoku,Japan,32.775,132.9583,19300929,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,FKK,Fukuoka,Kyushu,Japan,33.58,130.38,19320404,19851004,,,,tiff,http://www.susu.adep.or.jp
JMA,IZK,Iizuka,Kyushu,Japan,33.65,130.7,19370820,19490120,,,,tiff,http://www.susu.adep.or.jp
JMA,NGS,Nagasaki,Kyushu,Japan,32.7317,129.87,18930709,19701207,,,,tiff,http://www.susu.adep.or.jp
JMA,IZU,Izuhara,Kyushu,Japan,34.2033,129.295,19220902,19720801,,,,tiff,http://www.susu.adep.or.jp
JMA,TOM,Tomie,Kyushu,Japan,32.6083,128.765,19310309,19620412,,,,tiff,http://www.susu.adep.or.jp
JMA,FKJ,Fukue,Kyushu,Japan,32.7,128.8333,19620615,19741129,,,,tiff,http://www.susu.adep.or.jp
JMA,UNZ,Unzendake,Kyushu,Japan,32.74,130.265,19240630,19941004,,,,tiff,http://www.susu.adep.or.jp
JMA,ASO,Aso,Kyushu,Japan,32.8833,131.0167,19330303,19941004,,,,tiff,http://www.susu.adep.or.jp
JMA,MYZ,Miyazaki,Kyushu,Japan,31.9167,131.4267,19091110,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,NOB,Nobeoka,Kyushu,Japan,32.5833,131.6833,19611126,19941009,,,,tiff,http://www.susu.adep.or.jp
JMA,KAG,Kagoshima,Kyushu,Japan,31.5733,130.5533,19140111,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,TAJ,Tanegashima,Kyushu,Japan,30.7333,131,19700610,19941016,,,,tiff,http://www.susu.adep.or.jp
JMA,YKS,Yakushima,Kyushu,Japan,30.45,130.4967,19380111,19700323,,,,tiff,http://www.susu.adep.or.jp
JMA,NZJ,Naze,Kyushu,Japan,28.3767,129.4983,19730115,19951216,,,,tiff,http://www.susu.adep.or.jp
JMA,ISI,Ishigakijima,Okinawa,Japan,24.333,124.1667,19100107,19741129,,,,tiff,http://www.susu.adep.or.jp
JMA,MYK,Miyakojima,Okinawa,Japan,24.7833,125.2833,19411226,19420324,,,,tiff,http://www.susu.adep.or.jp
JMA,YOJ,Yonagunijima,Okinawa,Japan,24.4667,123.0167,19680113,19731207,,,,tiff,http://www.susu.adep.or.jp
