symbol_color
#f36f20
YYYYMMDD,HHMMSS,Latitude,Longitude,Magnitude
19660629,21940,35.86916667,-120.4668333,3.9
19660629,131156,35.952,-120.4086667,3.7
19660629,195321,36.2085,-120.7118333,4.8
19660630,11736,35.84283333,-120.2545,3.8
19660701,94119,36.09516667,-120.5428333,3.6
19660702,120830,36.099,-120.4625,3.7
19660715,100943,35.415,-117.7941667,3.9
19660723,225558,35.4795,-114.551,3.8
19660801,120531,35.756,-120.4991667,3.5
19660803,123902,35.993,-120.4371667,3.8
19660807,2351,32.616,-117.9505,3.6
19660807,170323,36.07066667,-120.4131667,3.5
19660819,225117,36.19316667,-120.4535,3.5
19660902,110629,34.126,-117.4306667,3.7
19660907,2053,35.966,-119.9961667,3.5
19660916,225410,33.17783333,-116.4056667,3.5
19661002,51234,34.0225,-118.3361667,3.5
19661011,165913,35.132,-117.3043333,4.4
19661020,31334,32.84066667,-115.5988333,3.7
19661020,142540,35.158,-117.3415,3.8
19661105,133133,35.8855,-120.2806667,3.5
19661226,225853,33.97816667,-118.5758333,3.5
19670106,235733,32.006,-116.1845,3.7
19670108,73729,33.5605,-118.3376667,3.8
19670108,73804,33.61366667,-118.3346667,3.9
19670108,81230,33.62,-118.3545,3.5
19670108,82658,33.572,-118.3451667,3.7
19670108,204735,33.34083333,-118.4955,3.7
19670109,231857,36.09566667,-120.0383333,3.6
19670113,101950,32.009,-115.6391667,3.5
19670114,24517,33.65883333,-118.3626667,3.5
19670117,231055,32.05016667,-115.0148333,3.5
19670124,831,33.25416667,-117.9601667,3.7
19670128,92740,36.47633333,-120.6131667,3.7
19670216,194126,32.04133333,-116.0658333,4
19670218,184856,34.05983333,-117.3698333,3.6
19670221,204548,33.85166667,-117.6643333,3.5
19670223,211920,33.18683333,-116.0361667,3.6
19670301,61019,34.211,-116.7726667,3.6
19670302,141248,36.49383333,-117.6128333,4.1
19670312,161439,32.54266667,-115.9876667,3.6
19670313,215946,35.90683333,-120.4695,3.6
19670402,201538,33.00016667,-116.302,4.2
19670410,4717,32.954,-115.91,4
19670521,144234,33.57866667,-116.6223333,4.7
19670615,45805,33.97833333,-117.9715,4.1
19670630,40411,33.13283333,-116.4286667,3.5
19670712,44728,32.23033333,-115.7873333,3.7
19670712,45258,34.48483333,-117.9601667,3.6
19670723,151645,36.44,-120.554,3.9
19670724,70856,35.688,-120.059,3.7
19670804,60426,32.06433333,-115.626,3.9
19670811,5711,33.52083333,-116.6016667,4.1
19670812,185740,35.82966667,-120.3758333,4.1
19670813,125212,34.51266667,-119.9543333,3.9
19670824,4654,32.18416667,-115.75,3.5
19670926,124138,32.622,-115.2095,3.7
19670926,201315,32.50216667,-115.098,3.8
19671009,52320,32.2675,-115.1303333,3.9
19671014,3621,34.15283333,-117.4408333,3.6
19671111,221006,36.464,-120.837,3.5
19671210,41837,32.15516667,-115.704,3.7
19671231,234814,35.803,-120.5096667,4.2
19680104,94543,36.48616667,-117.0226667,3.5
19680203,115913,35.094,-118.7886667,3.5
19680212,21225,33.00666667,-116.305,3.8
19680325,113208,36.33933333,-120.5218333,3.8
19680328,212133,34.03133333,-116.1086667,4.1
19680409,22736,33.1435,-116.1115,3.7
19680409,22858,33.1675,-116.0866667,6.6
19680409,23915,32.15783333,-116.8306667,4.4
19680409,24440,33.02166667,-116.0608333,3.9
19680409,24748,33.066,-116.0416667,3.6
19680409,30141,33.01766667,-115.9993333,4
19680409,30839,32.85816667,-116.0505,3.7
19680409,32225,33.147,-115.5226667,3.6
19680409,34810,33.0535,-116.003,4.5
19680409,35835,33.0255,-115.985,4.1
19680409,40504,33.20733333,-116.2155,3.7
19680409,41546,33.05633333,-116.0193333,3.7
19680409,50054,33.03716667,-116.0213333,3.6
19680409,70351,33.1,-116.1,5.1
19680409,80037,33.00866667,-115.9826667,4.1
19680409,82723,33.31083333,-116.3138333,3.5
19680409,92625,33.04533333,-116.0283333,3.7
19680409,93833,33.21716667,-116.2575,3.9
19680409,111754,33.06566667,-116.0443333,3.9
19680409,114549,32.942,-115.8335,3.7
19680409,122000,33.24583333,-116.2326667,3.5
19680409,172536,33.096,-116.0536667,3.5
19680409,183104,33.29816667,-116.3135,4.4
19680410,111,33.0725,-116.055,3.5
19680410,133304,33.21216667,-116.0453333,3.8
19680413,12348,33.37316667,-116.2028333,3.5
19680414,125558,33.22266667,-116.2258333,4.3
19680416,33029,32.99583333,-115.9763333,4.5
19680417,24347,32.99683333,-115.967,3.8
19680418,72935,32.19533333,-117.7426667,3.5
19680418,93204,32.1985,-117.7431667,3.5
19680418,174214,34.27883333,-116.936,4.1
19680423,131823,32.03266667,-116.8943333,4.2
19680423,162409,32.9505,-115.6913333,3.8
19680430,5335,33.37816667,-116.972,3.5
19680503,72154,32.67033333,-117.1086667,3.7
19680506,173147,32.988,-115.9355,3.9
19680509,102145,33.12566667,-116.015,3.5
19680511,81003,32.99016667,-115.9983333,4
19680511,84603,33.001,-116.0065,3.5
19680522,132655,33.30083333,-116.2506667,4
19680528,62317,34.7875,-120.9696667,3.5
19680529,22938,35.32533333,-118.54,3.9
19680529,51254,35.31666667,-118.5301667,3.6
19680626,181111,34.2115,-119.6943333,3.9
19680626,214231,34.179,-119.7021667,3.7
19680628,155034,36.84666667,-115.5678333,3.5
19680629,63321,34.21616667,-119.657,3.8
19680629,153242,34.24216667,-119.6565,4
19680629,191221,34.23,-119.7175,4.3
19680629,191356,34.26783333,-119.6386667,4.4
19680629,203633,34.23616667,-119.6436667,3.7
19680629,234854,34.192,-119.7023333,3.5
19680705,3606,34.2045,-119.7111667,3.9
19680705,4517,34.162,-119.6776667,5
19680705,23613,34.07016667,-119.755,4
